Cost_date,Product_id,Data_Measure_id,Amount
5/1/20,MSFP EXTERNAL STREAMING,13, $694.55 
5/1/20,MSFP EXTERNAL STREAMING,14,
5/1/20,OPERATIONS,10, $962.83 
5/1/20,OPERATIONS,11, $25.00 
5/1/20,OPERATIONS,12, $497.73 
5/1/20,OPERATIONS,13," $1,485.56 "
5/1/20,OPERATIONS,14,
5/1/20,SERVICE-WARNING,10, $1.07 
5/1/20,SERVICE-WARNING,11,
5/1/20,SERVICE-WARNING,12, $2.52 
5/1/20,SERVICE-WARNING,13, $3.59 
5/1/20,SERVICE-WARNING,14,
5/1/20,TELEMETRY,10," $4,782.63 "
5/1/20,TELEMETRY,11, $814.68 
5/1/20,TELEMETRY,12," $1,324.36 "
5/1/20,TELEMETRY,13," $6,921.67 "
5/1/20,TELEMETRY,14," $2,139.04 "
5/1/20,TELEMETRY-STREAMING,10, $29.66 
5/1/20,TELEMETRY-STREAMING,11,
5/1/20,TELEMETRY-STREAMING,12, $168.44 
5/1/20,TELEMETRY-STREAMING,13, $198.10 
5/1/20,TELEMETRY-STREAMING,14, $168.44 
5/1/20,TIMS,10," $6,731.72 "
5/1/20,TIMS,11,
5/1/20,TIMS,12, $397.76 
5/1/20,TIMS,13," $7,129.48 "
5/1/20,TIMS,14,
6/1/20,ACN,10," $1,011.81 "
6/1/20,ACN,11," $5,451.22 "
6/1/20,ACN,12, $741.25 
6/1/20,ACN,13," $7,204.29 "
6/1/20,ACN,14," $6,192.48 "
6/1/20,ADHOC,10, $0.10 
6/1/20,ADHOC,11," $17,864.50 "
6/1/20,ADHOC,12,
6/1/20,ADHOC,13," $17,864.60 "
6/1/20,ADHOC,14,
6/1/20,CPA COMPLIANCE,10, $40.52 
6/1/20,CPA COMPLIANCE,11,
6/1/20,CPA COMPLIANCE,12, $3.03 
6/1/20,CPA COMPLIANCE,13, $43.55 
6/1/20,CPA COMPLIANCE,14,
6/1/20,COMMON,10,
6/1/20,COMMON,11,
6/1/20,COMMON,12,
6/1/20,COMMON,13,
6/1/20,COMMON,14,
6/1/20,DATA SCIENCE,10, $173.66 
6/1/20,DATA SCIENCE,11, $161.02 
6/1/20,DATA SCIENCE,12, $176.21 
6/1/20,DATA SCIENCE,13, $510.89 
6/1/20,DATA SCIENCE,14,
6/1/20,DRIVER SCORE,10," $4,678.77 "
6/1/20,DRIVER SCORE,11, $7.69 
6/1/20,DRIVER SCORE,12, $876.05 
6/1/20,DRIVER SCORE,13," $5,562.50 "
6/1/20,DRIVER SCORE,14, $883.74 
6/1/20,DRIVERSCORE-B2B,10,
6/1/20,DRIVERSCORE-B2B,11,
6/1/20,DRIVERSCORE-B2B,12,
6/1/20,DRIVERSCORE-B2B,13,
6/1/20,DRIVERSCORE-B2B,14,
6/1/20,ENS,10," $1,049.40 "
6/1/20,ENS,11,
6/1/20,ENS,12, $638.81 
6/1/20,ENS,13," $1,688.21 "
6/1/20,ENS,14, $638.81 
6/1/20,INGEST,10," $169,861.61 "
6/1/20,INGEST,11,
6/1/20,INGEST,12," $14,235.05 "
6/1/20,INGEST,13," $184,096.66 "
6/1/20,INGEST,14,
6/1/20,LANEID,10, $10.86 
6/1/20,LANEID,11,
6/1/20,LANEID,12, $129.60 
6/1/20,LANEID,13, $140.46 
6/1/20,LANEID,14,
6/1/20,MARKETPLACE,10, $846.83 
6/1/20,MARKETPLACE,11,
6/1/20,MARKETPLACE,12," $1,061.00 "
6/1/20,MARKETPLACE,13," $1,907.82 "
6/1/20,MARKETPLACE,14,
6/1/20,MSFP EXTERNAL STREAMING,10, $381.44 
6/1/20,MSFP EXTERNAL STREAMING,11,
6/1/20,MSFP EXTERNAL STREAMING,12, $319.61 
6/1/20,MSFP EXTERNAL STREAMING,13, $701.04 
6/1/20,MSFP EXTERNAL STREAMING,14,
6/1/20,OPERATIONS,10," $1,134.23 "
6/1/20,OPERATIONS,11, $25.00 
6/1/20,OPERATIONS,12, $518.41 
6/1/20,OPERATIONS,13," $1,677.64 "
6/1/20,OPERATIONS,14,
6/1/20,SERVICE-WARNING,10, $1.10 
6/1/20,SERVICE-WARNING,11,
6/1/20,SERVICE-WARNING,12, $2.21 
6/1/20,SERVICE-WARNING,13, $3.32 
6/1/20,SERVICE-WARNING,14,
6/1/20,TELEMETRY,10," $6,341.11 "
6/1/20,TELEMETRY,11," $1,007.43 "
6/1/20,TELEMETRY,12," $1,275.46 "
6/1/20,TELEMETRY,13," $8,624.00 "
6/1/20,TELEMETRY,14," $2,282.89 "
6/1/20,TELEMETRY-STREAMING,10, $32.70 
6/1/20,TELEMETRY-STREAMING,11,
6/1/20,TELEMETRY-STREAMING,12, $115.19 
6/1/20,TELEMETRY-STREAMING,13, $147.89 
6/1/20,TELEMETRY-STREAMING,14, $115.19 
6/1/20,TIMS,10," $8,326.50 "
6/1/20,TIMS,11,
6/1/20,TIMS,12, $504.39 
6/1/20,TIMS,13," $8,830.89 "
6/1/20,TIMS,14,
